Brand,Product Name,Price (HKD),Image,Detail Image
AMUSE,[MONCHHICHI LIMITED EDITION] QUICK MAKEUP MINI GACHA SET,130,https://static.lottedfs.cn/prod/prd-img/20/96/41/01/00/02/20001419620_3.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260331/20260331175412044e3333f219df042688974252aa094a8d4.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,DEW POWER VEGAN CUSHION REFILL SPECIAL SET,155,https://static.lottedfs.cn/prod/prd-img/00/29/40/01/00/02/20001402900_2.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260212/202602121332372940ae97180c27b41d9b764dfb6b51988b2.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,[MONCHHICHI EXCLUSIVE EDITION] GAME STATION LIP & CHEEK HEALTHY BALM ,130,https://static.lottedfs.cn/prod/prd-img/57/96/41/01/00/02/20001419657_3.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260331/20260331181221135b19b7220be0143eda91d303c4d34f7df.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,[MONCHHICHI LIMITED EDITION] CERAMIC SKIN PERFECTOR CUSHION (NO REFILL),155,https://static.lottedfs.cn/prod/prd-img/59/95/41/01/00/02/20001419559_2.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260331/202603311712385004a0c9ecac96e4b589096fc4db3225049.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,JEL-FIT TINT 染唇液,90,https://static.lottedfs.cn/prod/prd-img/26/59/04/01/00/02/20001045926_3.jpg/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20250716/202507161731448724780e1a847e4428c9b7c8928c4726b09.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+1200/format/webp/optimize
AMUSE,JEL FIT GLOSS 唇彩,90,https://static.lottedfs.cn/prod/prd-img/41/97/37/01/00/02/20001379741_3.jpg/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20251120/20251120174557403c20e473e800c4b5c94b331d9d3c5b5f7.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+1200/format/webp/optimize
AMUSE,CERAMIC SKIN PERFECTOR CUSHION REFILL SPECIAL SET,155,https://static.lottedfs.cn/prod/prd-img/70/28/40/01/00/02/20001402870_2.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260212/202602121311375783e244d92dc144effa4473cccc0677ad3.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,DEW WEAR FOUNDATION 粉底液,155,https://static.lottedfs.cn/prod/prd-img/84/06/13/01/00/02/20001130684_3.jpg/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20250716/20250716173609504c0af5430ed4c4c87852ba66450d7e05d.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
BANILA CO.,COVERLICIOUS POWER FIT FOUNDATION 粉底液 30ml,148,https://static.lottedfs.cn/prod/prd-img/59/17/07/01/00/02/20001071759_3.jpg/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202601/1768898527713.jpg?SF=webp
BANILA CO.,SHEER BLUR POT,85,https://static.lottedfs.cn/prod/prd-img/07/51/43/01/00/02/20001435107_2.webp/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202604/1777340502158.jpg?SF=webp
BANILA CO.,PRIME PRIMER CLASSIC 妝前乳 30ml,110,https://static.lottedfs.cn/prod/prd-img/52/50/43/01/00/02/20001435052_1.webp/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202604/1777341480067.jpg?SF=webp
BANILA CO.,PRIME PRIMER SETTING FIXER 50ML,60,https://static.lottedfs.cn/prod/prd-img/63/50/43/01/00/02/20001435063_1.webp/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202604/1777340785837.jpg?SF=webp
BANILA CO.,MOOD ON EYE PALETTE,80,https://static.lottedfs.cn/prod/prd-img/38/94/01/01/00/02/20001019438_6.jpg/dims/resize/460x460,https://dl.dropboxusercontent.com/scl/fi/wautaazvzajb4q14vqjwv/_-_-_.jpg?rlkey=09dfxxb2ndw96ff8y5cd9khu6&raw=1
BANILA CO.,ESSENCE SKIN PINK CUSHION (REFILL),80,https://static.lottedfs.cn/prod/prd-img/91/65/26/01/00/02/20001266591_3.jpg/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202601/1768897918947.jpg?SF=webp
BANILA CO.,PRIME PRIMER FINISH POWDER 12G,105,https://static.lottedfs.cn/prod/prd-img/56/50/43/01/00/02/20001435056_1.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260424/202604241453294177ab95f6c4958427cb7417839b25d3264.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
BANILA CO.,Romantic Blush Lip & Cheek,85,https://static.lottedfs.cn/prod/prd-img/71/51/32/01/00/02/20001325171_4.jpg/dims/resize/460x460,https://dl.dropboxusercontent.com/scl/fi/20jpexnyw1obokwjgaply/_-_-_-_.jpg?rlkey=tonkznec6n78doxfkc8jibyb9&raw=1
